JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Accountant,Commercial Credit Group,"Charlotte, NC",30+ days ago,2020-09-03,"The Senior Accountant ensures the integrity of accounting data by recording, verifying, and consolidating transactions for a Commercial Finance business.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ckbjaw4Q0dRT0YLc9RYl82KG8jKHfeJJWK1M-sDYTDPxoG8b9ZQRqgphJYWKY9bEqmxOXW86GlerA1XeXf0jmMUQNt2LxL9eFGmsRUeFM-bA6T6NgARY_W27r5Hz3QEwC5OWIXERHGcV2NugqPN2whIAgoYB8gjCU2EpwhokhCI6D9XX9S0j7mVLMuqM0MmAI03UvOsiWHYO0_FRvwYkTgCU4QGKZjdVUydpV4xUyM9XNmbupi7wm5qPfA28wOwoCqFXN7ZH71AeLX33M-fO1fvzAfwj_Sh1T-Rfka_QxYPQ589LOz4bCRYmNHp1F7796smhtpUSfPSE9pGexrtokOTv7IH4fDQ_5E-ycWNd-iiMlfk9I8-L-AramdSTVFQyANhIiLjlsCtr9gMBwRkgQuIFhv6AxvLXT8g4XtraRNvWLBRI08HK2PME_gthKz9eJQaxb3g_Xewo356lZgsMUI&p=0&fvj=1&vjs=3
CPA Senior Tax Accountant,Ken R Adams CPAs PA,"Charlotte, NC",30+ days ago,2020-09-03,"We offer 401k matching, health insurance and paid vacation.","$45,000 - $135,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_00Q_tH0hnVh1sObUpCTEv8eW_HRxuzprptC2Rn6K3lsUubvjCF4a-1prmvpNV8ilnE4Q7XXLxVtc7DyjKsrBcEnw7C1sI-c23xBH3_vxvTkHLXvW9l7bLoHALlv9ImUM13tIc_CIDtLTQAHmBq6ZHmGM-ObUQr2VLUYhSkg-OyoMZ-gnM0SZxTZasuVYiAu01m6FW8PE0in-FHv5ozyh_ZSzf3MUC0XmfZX4isu7jAifYW4ZHhldJu0XG6eV6NHcZC694-aiX6c61EndXWxPZgsC5NjUL36sTqym2cuAGvZkIv-vrxNw99FbDQM6GV5pWRtDrVt2rBKYrlUoydxc5wMwV-VbKGC-EArbV4WXqfzGi1yBuXQeb3neu853-LmI35Rg9bSFlco3079BJUzm0D-_EoPbB4yZ5ulIib0N3BnDKlqozsTOmpDwQZlllAaqOflT-rAEWdhFhQJMgpqfM0ROp4ZKExI=&p=1&fvj=1&vjs=3
Senior Accountant,Wilkinson ERA Real Estate,"Charlotte, NC",30+ days ago,2020-09-03,Proven work experience as a senior-level Accountant. Communicate with various levels of senior management as requested. 5+ years of accounting experience.,"$55,000 - $65,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DR7uEmWe2cxn1LitpUWUqYoAZlBbVUijOGGe_5SZR4r5B46sJwWnF15zQCm9AkF7VV9n43UezRCJSbwvEUUSJhOF74hQGlq0UfF2i_JcsfBY13HwzNlc__y_ymWmgpFizMeH-vmqPMmpClI_6F0ufIK5bM4XGkTyTrr3YG7zEilCCQoPF47ocSAOVEnmPCgq5zib7lYHIZnLObjOMHPTFuenqTu_vrGCav6P4Asy4Pl_tMEWv9wnqhesGJewFOgVKCqk9TIsFXczH_eJm_DFs8-iNByY3BuT-5On9urqJTJ-wTPqcbGWmJ1_-vBt5jp2Jfz5FfsTtmZIi0J0ybd3kMqXJcyn8ph2f7UXGj8OjYCEMIv5Es_AsRxy0vfKZTBU9JQXew0q0K5LMK1fl62IwnSxGowXKQabXY7K9z8o0OyS7v6MFNwpbkVQAhucTLNmks8USw4rXmNMCRFxLJpdgE&p=2&fvj=1&vjs=3
Senior Accountant,"Structural Integrity Associates, Inc.","Huntersville, NC",Today,2020-09-03,"Quality control – must demonstrate accuracy and thoroughness, monitors own work to ensure quality and applies feedback to improve performance.",,https://www.indeed.com/rc/clk?jk=49e0e7ba54349665&fccid=8ac405b40db7cc5d&vjs=3
Senior Accountant,Vaco,"Charlotte, NC",1 day ago,2020-09-03,Excellent critical thinking skills when analyzing account activity and assessing current business processes. Perform various month-end close activities.,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tqP4Gdv5Jk31R9C4XnmvX9FoHYfQ0qPr2O_O2RVHFADXbaFy-bQhUcIFSZJIVm2nhFmVthT-YYQw8V4G71NXc55qL0MZTrNT31cCMXWQBBifHqvoy_qsl6kvy4Aq5uF3orwNr2ZNunba80K_SIqzLQD7NMzSOUykSFBR4exw1mMUlCkGkPM6nxccx4X7RNLKvhTCHVs1AF9U_sMKFxjHnFSWVMSP3uki2yF5PYZmnqtrNW4J2Am51LlJ9FcE1imN5O4vRR9wJ7WZLppnFZIlfFzuO65oOnjOW3hKvxfNKBZpPoemBQRwmJigKpx3BgXgFwdMtOxnmkULpkRElh4mm1Iv_THAl_00b-YdUKH6xnPgVIZ6d9Rta0nStL-S6zSvEexze3Gtov0WCThHsnewrlgIv3a8RJD-NcdrRKfv3kuIhYVBhFGVE8WhiR8w4H3hg=&p=4&fvj=0&vjs=3
Senior Accountant,AccruePartners,"Charlotte, NC",12 days ago,2020-09-03,Direct visibility and interaction with senior management and offers career advancement. Secured loan originator with national scope and customer base.,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrBJunaLrqvpKZY-mJ8fo929bGU2Bup7nrspHaJCA7dzCfHnURj8aR8lgJ9UQgbhfmLuxlhHPXc1kP2xTM7ITeiVnXPmVJ6majIwlM5-EQWySt7hIKjd1CWb0dPcUVVgNU18LOAPUGEkYTXA1HAJJ671BSr4hJNvxoYAf-_2Nc7zYjdWO_DV9F46RpBGDu6M7dsnby8TXu_j3EQtXI2_PIVtT0vvWsisZewu4ckEFH-fv_a0mYkT2IPNBAQ3_vYOCtE1_hIThQzROPN7ZM_RRSvh-nnZ67JIUVVHkxJaw0kCb0QDKkH9vl0JsjzH-srnXAH-bdI8xVH1FCYxD5aPGdlEydml-Lhoho6oYrClmjkZU3vbcyhw7A_AQtcJd1dNt88Y6tSlZC2IbX4Wa_rmU5_FAxzKSP93A5_I3y-R_JGFPYz8JKqfDf-T&p=5&fvj=0&vjs=3
Senior Accountant,York County Natural Gas Authority,"Rock Hill, SC",1 day ago,2020-09-03,"_Under limited supervision is responsible for supervising the activities within the accounting function. Will serve as back up for posting journal entries,…","$55,000 - $70,000 a year",https://www.indeed.com/company/York-County-Natural-Gas-Authority/jobs/Senior-Accountant-1f51c914668e6872?fccid=5c489e7d15feedfc&vjs=3
Senior Corporate Accountant $75-80k,Vaco,"Charlotte, NC",1 day ago,2020-09-03,"The Corporate Accountant will be responsible for performing general ledger accounting, journal entries, account reconciliations and management reporting as…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tqP4Gdv5Jk3-5ZB-CYTwkY9-AxFj7Cg9iHFUZtwKetYhQ0FjuB7F8NRZtvG17EsWFxOFcVb4QefBI63NSqN1UqOjlX691Tuau-x_nCV9snHzZoAHr8FsjNQ6MN9Azk69PiLtgJmWQC1wXfRyuX-7PgRoDZSDsw0Ma9FMAL9smWnZJqhy6CREHgMdWoCeqwG7j2KD3C-FQZucJOBszsboBXc1kGz-lMQ4sfG1flQ0drssqe29YidtmwOZNEJR7Vd5z2AzypVxH9TaE0c49qGCaSS5RCiyS6jpDXBHqAqU2TOIC5cj3Hcd_5iDYWgy0TbCNtNSC1n0fuc4XfdVX9UyRfPAxrgGevBx2iE8L5bX94XdT-gBJeBXrSfSexFPtdJal6L3lt_3A3Ds0TxWAifrvvO3WammpT7vXkC6VO-yPev0YmRJEMLm8vNJk_4N4jDv762BenzFhAiQ==&p=7&fvj=0&vjs=3
Senior Accountant,XPO Logistics,"Charlotte, NC",5 days ago,2020-09-03,"3 or more years of accounting or financial reporting experience, preferably with a Big Four accounting firm. Complete and/or oversee the monthly reconciliation…",,https://www.indeed.com/rc/clk?jk=b333c2befb4c04c1&fccid=518acc75d1476dc2&vjs=3
Senior Accountant,Elements Brands,"Charlotte, NC",12 days ago,2020-09-03,"This person will become a key quantitative resource who can adeptly analyze, translate and communicate business impacts. A Bachelor's degree in Accounting.",,https://www.indeed.com/rc/clk?jk=ba2ef454757fb628&fccid=3e68a0c70c2b306e&vjs=3
Senior Accountant,Northwood Ravin,"Charlotte, NC",30+ days ago,2020-09-03,Responsible for distributing draw payments once funded. Prepare development draws for developer review and then submit approved draws to bank.,,https://www.indeed.com/rc/clk?jk=775910fa33c21338&fccid=dfcb21795fd6f2ee&vjs=3
Senior Accountant,RemX,"Mooresville, NC",16 days ago,2020-09-03,Minimum of five years accountant experience. Complete various supporting schedules for the quarterly and annual report. Assist with all various treasury tasks.,"$85,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CuHSGuDApGVPx9cXRLGO-izRoRBHVZoe6qYcOHefrkjjayppeLopH22wnTycBj1L4lNN6GCcNk9jYl0jXJ4JqgkfsrxY7Gahxbw0gjjBgFDXbOhvpXDg3t7JcOnoaNu6_0P58WPnhg11y-_Am9-NOx-mXbwTQF9nTPAVDD39q5I-Xk4WbcAGCRqJ0c6KF_3zcM4Bnwmh0UZ_osJDW9Eodiw63avysKTb0Wm6H0XFp5yXDwj8lHs-qkmic_y01B5RJdUuhwNXJjVKrGHEx0NInN-tzczFdom60CmQ7fSnlqJ6ZqT1x1-3Xn5WfrAwkcCvSitB6vazbh-OS7E1R96X5jdkzbGe9h_EFoNGnjgmlLe69ZPNxe7964J9jhyKkN86TqFiAq4i7DlyQlpmW5yBzUUka8xidZITlKk2SUTVcblpxnRZ9SzTRuGBPoIrjHqEZsj4noehboPPd6rGGYM6uXaZdlK7s8snrz4dQZVa80rG0JSA4pn_QXiL25x6RtqonGQksmeL2vLvze-OtGR_ns2AL8e3WVnzt6svOoroQlHoFpGK340GC533GYXGXDs58dSw2UXNHiiuZ40OsIExFmp-VJbKIoZZwU8gESZJ3F_a4STuKGGMFD98ZGghcCFgfbhTraBg3f2iTJGkYGVbtGBq4G8F1ZM0hanVz2-0oQlq_ZOet-nE_hAKkHieG-JLZORF7i3l0jd3NsLwVltjPHjGhfY-8BZBTf4rVm8kYVvq3tc_EsvxnsHyLSV750QJ_L9xs1lOn3HR4tCWn-Q01LQPwP07MRlzcR_zC8jE3UWwHNUqRM2NeXFf5h-1114OLEk3kNf92eUA==&p=11&fvj=0&vjs=3
Senior Accountant,Relation Insurance,"Charlotte, NC",30+ days ago,2020-09-03,Prepares schedules for year-end audit for independent external auditors. The Senior Accountant is primarily responsible for complex accounting activities…,,https://www.indeed.com/rc/clk?jk=704306c937beebb6&fccid=81b37195efd58391&vjs=3
Senior Accountant,Cardinal Holdings,"Concord, NC",1 day ago,2020-09-03,Develops and implements accounting procedures by analyzing current procedures and recommends changes. The Senior Accountant maintains aspects of the General…,,https://www.indeed.com/rc/clk?jk=7d67b288e38eed05&fccid=a685054337d09ac4&vjs=3
Senior Property Accountant,AccruePartners,"Charlotte, NC",20 days ago,2020-09-03,Prepare and maintain fixed asset depreciation/amortization schedules. A team that adequately balances and optimizes long-term risk-adjusted returns.,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynBDgqQrm_TpE7Odubff4TYgRYTG39-1vwaklhexHZplt4H3VLOQnnmnLlyJo4auaDqSDJt7XVth4WVUy4gDUhcDyftOb-jI9hkojt_0bP-e-MdCxw9kW7JYWuPqanPsfzPFBrSMQEx-YYDDpJ60a2q2ITUefVGmBGqnjDNZt9vp5o6sR_LvfOpOx2rXtFrsVUIopsop6iCxiIMDIYGTFMLp9hdCGo8D5YGJ_eIyqk6zg5xDZYV4j3knB2oWuEq98axCB5v9xc0YJwGV4YSZmq-_ikaBDPk8sNfih2OtIYbSm25yOaQn0CGc6-XBbppsvZC9D4licOxr4Y1Pje4RF_UAvRTHtn6oEVFG1QzyLirk7D5xSRiax1x3gG3bcGIv6F5UTsT2PfG0-Z8W1lmwJ2K-gM5qL2rOrmJIGrtkCDu7jp1w0B-Pz8uoMppmGoxYW6GN7I_BmGwn7OiEvCZvuZ3E=&p=14&fvj=0&vjs=3
Senior Accountant,Relation Insurance,"Charlotte, NC",30+ days ago,2020-09-03,Prepares schedules for year-end audit for independent external auditors. The Senior Accountant is primarily responsible for complex accounting activities…,,https://www.indeed.com/rc/clk?jk=704306c937beebb6&fccid=81b37195efd58391&vjs=3
Senior Accountant,Cardinal Holdings,"Concord, NC",1 day ago,2020-09-03,Develops and implements accounting procedures by analyzing current procedures and recommends changes. The Senior Accountant maintains aspects of the General…,,https://www.indeed.com/rc/clk?jk=7d67b288e38eed05&fccid=a685054337d09ac4&vjs=3
