JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Sr. Accountant Canada,Carrier,"Charlotte, NC",30+ days ago,2020-09-03,This position will be responsible for accounting support for our Carrier Commercial Service field locations. Participate in and coordinate the month end closing…,,https://www.indeed.com/rc/clk?jk=4bb6145e3a3c2a8e&fccid=9a2c8ce9d1b61aac&vjs=3
Senior Staff Accountant,River Rock Capital Partners,"Mooresville, NC",30+ days ago,2020-09-03,Select invoices and print payments as needed for entities. We are looking to find candidates with financial and analytical experience who are highly motivated…,,https://www.indeed.com/rc/clk?jk=28e602b7cb078c40&fccid=1e1001dfd78aa247&vjs=3
Senior Audit Associate,"RICHEY MAY & CO., LLP","Matthews, NC",30+ days ago,2020-09-03,"Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.",,https://www.indeed.com/rc/clk?jk=cb094083910744ab&fccid=3bced6649a7d3fd3&vjs=3
Senior Auditor,MSC Industrial Supply,"Davidson, NC",12 days ago,2020-09-03,"Assists Audit Management with the planning of operational audits (functional areas, distribution centers and branches) including preliminary understandings,…",,https://www.indeed.com/rc/clk?jk=f97c1284deead589&fccid=03d1cab2c90ea3c2&vjs=3
Tax Senior,Elliott Davis,"Charlotte, NC",2 days ago,2020-09-03,"Serve as a mentor and role model through active participation in firm committees, departmental matters and events. Review basic tax return engagements.",,https://www.indeed.com/rc/clk?jk=9f2eab2175d09c6a&fccid=a3b99287cfeec2b7&vjs=3
Senior Tax Analyst,"Novolex Holdings, LLC","Charlotte, NC",28 days ago,2020-09-03,"Assist with tax planning, M&A and budgeting. The primary and ultimate responsibility of the Senior Tax Analyst is to ensure the timely and accurate filing of…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXYS0b1cz0iXt9UONGVVSS5xGu93ivi0Jdd53qigW_POqFJcuioVzELIyg3dCo9r8q34UEz6ZyWr-QmdEoyd9DxtcjisYqkYmFMvd-BpZXrgdfryBy-rhjvKARuFZ5_iT8WfrPzaSUSOUHxudjpnPKtXeLw4rFcAi-Np7VeBfcgDbTulxjS242tcd3J7t54Qm6T3b8q8z1l-aZaLr7cT8zLR1j5Pmuozwnj1wIEKK9BYlRzKihHl8NLwBPPWZvktn2t9xjgRIVFWgegLzdsvVkUAA1ucOly-6j3UNnamFCcYm0r8RDgGfA61o0g9ZmBUbS24oWbAApA_lnhU8EjzyX32c1bYDwBm2-NNKItMQz8uOJRhSr9OM_QO25SMWcYMVvGJgGRldr5iRBltMBJv74DFuHC6gTalMlHhEVrVMhVjlPGorULFBTDtJ2rdmQJ3drAyg0-pokjZ-OdD33YxOoUQB8klA_whrt8LkPXuuSdaGfvSuB0TXpv69PneDmZOZMMXSGcR_uElIJ5jJWbbOCPv-iAU08iu1rG0bLuOTWa0GU6dhZyULaej38KvOhqrFey_tp7kKYYwslzZ3_Kwe7FcFT9Ea-NASpr_16vOyCEKIvyOZfcV41qqVkgEkaBmFHCoAxwi_Qwc7lBHJraZ3LCxOVqYupj0I=&p=16&fvj=0&vjs=3
Senior Corporate Accountant $75-80k,Vaco,"Charlotte, NC",1 day ago,2020-09-03,"The Corporate Accountant will be responsible for performing general ledger accounting, journal entries, account reconciliations and management reporting as…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tqP4Gdv5Jk3-5ZB-CYTwkY9-AxFj7Cg9iHFUZtwKetYhQ0FjuB7F8NRZtvG17EsWFxOFcVb4QefBI63NSqN1UqOjlX691Tuau-x_nCV9snHzZoAHr8FsjNAHKy3jWFJXYtC67sb2dVq1vv5RIaNn06e-Zv19Mn-5_asZkBpzUsQcnMrtNo6EgSXSFzatc8SFd0GjX_qCqpNRvCWRHpL-vJiX9OIWbvalBQnpQ0JmNLXBO2XwO6B-DgJIqvFSYd7DEIE1zaxizWUutCmm6XBb0XkdB0V81ZjuD8vTE4EB7zjHSK5KIvPENg1GI028yMXlHAf8rWe5XGus2M4MMeFySjDzbz2xywwsAGOXKE-1g-GVKSBr01PzWWoCDOmId4ZhtE4f0JENVNQMo3gu4zhH5H64A9x63BRST9-eJ22Pqtc44yrn7mNaTcZOCXAKR6a-jvuMh9OdYLkQ==&p=17&fvj=0&vjs=3
CPA Senior Tax Accountant,Ken R Adams CPAs PA,"Charlotte, NC",30+ days ago,2020-09-03,"We offer 401k matching, health insurance and paid vacation.","$45,000 - $135,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_00Q_tH0hnVh1sObUpCTEv8eW_HRxuzprptC2Rn6K3lsUubvjCF4a-1prmvpNV8ilnE4Q7XXLxVtc7DyjKsrBcEnw7C1sI-c23xBH3_vxvTkHLXvW9l7bLoHALlv9ImUM13tIc_CIDtLTQAHmBq6ZHmGM-ObUQr2VLUYhSkg-OyoMZ-gnM0SZau7DrtlovKVj0W5gaLyf7FFfNfczJio9v2ayZTSJ81p4o2h11xucwf631Sly7DAPcfLwGhzL7A_sYfiRMhcTjmF8ch07XiGOXRg6srbwSQVYNrVGrtClMftOSPp3I7oSX32m2VeQf8mbLqJzTz6qGs94JzAoNPATWLJegJeE_C7MViY0b6x0tezTyMbHd1XGx_uTEUn_178SSALDxseLeoJ8ZvqWBy_dMPViIghsFhZiKhVoRw4xG8umQyUbwYqLbW1q4WRmmlBX4UQ9zOIfX2A6AToqaiE7qYul-qRQY-U=&p=18&fvj=1&vjs=3
Senior Audit Associate,Rödl & Partner,"Charlotte, NC",30+ days ago,2020-09-03,"We recognize that talented people are attracted to companies that provide competitive pay, comprehensive benefits packages and outstanding advancement…",,https://www.indeed.com/rc/clk?jk=20c2984a14cc736b&fccid=9302447067d895a1&vjs=3
Senior Treasury Analyst,ServiceMac,"Indian Land, SC",30+ days ago,2020-09-03,"Create previous day and current day cash position reporting. Process Wires, Book Transfers, and ACH payments through banking portals, and possibly a treasury…",,https://www.indeed.com/rc/clk?jk=5795f6298f590aec&fccid=235390cdf05f26b1&vjs=3
AUDIT SENIOR ASSOCIATE,GRANT THORNTON,"Charlotte, NC",13 days ago,2020-09-03,"Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.",,https://www.indeed.com/rc/clk?jk=8a2504539237bc79&fccid=7ac82fceed64aa81&vjs=3
Assurance Senior Associate- Real Estate,CohnReznick,"Charlotte, NC",15 days ago,2020-09-03,"Serving as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and final deliverable.",,https://www.indeed.com/rc/clk?jk=af7eb047d18c1431&fccid=f0bade0760e83581&vjs=3
